id,name,owner,env,deployed,url,location,version,version_source,trapi,trapi_source,biolink,data_release,http_status,reachable,unregistered,drift,released,release_tag,release_url,openapi_url,status_url
dingo-ingest,DINGO Ingests,DINGO,dev,FALSE,,,,,,,,,,,,,,,,,
dingo-ingest,DINGO Ingests,DINGO,ci,FALSE,,,,,,,,,,,,,,,,,
dingo-ingest,DINGO Ingests,DINGO,test,FALSE,,,,,,,,,,,,,,,,,
dingo-ingest,DINGO Ingests,DINGO,prod,FALSE,,,,,,,,,,,,,,,,,
nodenorm-es,NodeNorm ES,CoCoWG,dev,FALSE,,,,,,,,,,,,,,,,,
nodenorm-es,NodeNorm ES,CoCoWG,ci,TRUE,https://nodenorm-es.ci.transltr.io/,ITRB,1.0.0,openapi,1.5.0,openapi,,,200,TRUE,,,,,,https://nodenorm-es.ci.transltr.io/webapp/openapi.json,
nodenorm-es,NodeNorm ES,CoCoWG,test,TRUE,https://nodenorm-es.test.transltr.io/,ITRB,1.0.0,openapi,1.5.0,openapi,,,200,TRUE,,,,,,https://nodenorm-es.test.transltr.io/webapp/openapi.json,
nodenorm-es,NodeNorm ES,CoCoWG,prod,FALSE,,,,,,,,,,,,,,,,,
kgx-storage-pipeline,KGX Storage,DINGO,dev,FALSE,,,,,,,,,,,,,,,,,
kgx-storage-pipeline,KGX Storage,DINGO,ci,TRUE,https://kgx-storage.ci.transltr.io/,ITRB,,,,,,,404,FALSE,,,,,,https://kgx-storage.ci.transltr.io/openapi.json,
kgx-storage-pipeline,KGX Storage,DINGO,test,FALSE,,,,,,,,,,,,,,,,,
kgx-storage-pipeline,KGX Storage,DINGO,prod,FALSE,,,,,,,,,,,,,,,,,
dogpark-ranger,DogPark Ranger,DOGSURF,dev,FALSE,,,,,,,,,,,,,,,,,
dogpark-ranger,DogPark Ranger,DOGSURF,ci,FALSE,,,,,,,,,,,,,,,,,
dogpark-ranger,DogPark Ranger,DOGSURF,test,FALSE,,,,,,,,,,,,,,,,,
dogpark-ranger,DogPark Ranger,DOGSURF,prod,FALSE,,,,,,,,,,,,,,,,,
dogpark-tier-0,Tier 0: Gandalf (full KGX),DOGSLED,dev,TRUE,https://gandalf.renci.org/,RENCI,1.0.0,openapi,1.5.0,openapi,4.2.1,,200,TRUE,,,2026-07-21,v1.0.0,https://github.com/ranking-agent/gandalf/releases/tag/v1.0.0,https://gandalf.renci.org/openapi.json,
dogpark-tier-0,Tier 0: Gandalf (full KGX),DOGSLED,ci,FALSE,,,,,,,,,,,,,,,,,
dogpark-tier-0,Tier 0: Gandalf (full KGX),DOGSLED,test,FALSE,,,,,,,,,,,,,,,,,
